City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,xinqing,48.2333,129.5,-19.5,100,95,0.72,CN,1737317328
264,lebu,-37.6167,-73.65,61.84,71,100,15.7,CL,1737317165
265,callao,-12.0667,-77.15,71.89,78,0,4.61,PE,1737317332
266,newman,37.3138,-121.0208,54.05,65,4,1.99,US,1737317333
267,nacogdoches,31.6002,-94.6335,40.05,28,0,12.66,US,1737317335
268,kudahuvadhoo,2.6708,72.8944,81.48,75,100,9.35,MV,1737317337
269,ciudad bolivar,8.1222,-63.5497,96.49,23,1,11.99,VE,1737317338
270,salalah,17.0151,54.0924,69.89,56,0,5.75,OM,1737317339
271,sol'-iletsk,51.1631,54.9918,21.0,98,100,4.14,RU,1737317340
272,ipil,7.75,122.5167,74.64,93,98,3.56,PH,1737317341
273,novyy urengoy,66.0833,76.6333,-9.8,98,100,13.31,RU,1737317342
274,san patricio,28.017,-97.5169,48.15,24,0,16.69,US,1737317343
275,ad dilam,23.9915,47.1627,58.64,31,86,8.28,SA,1737317184
276,gaspra,44.4333,34.1,33.51,75,4,5.46,UA,1737317346
277,santa ana,33.7456,-117.8678,60.24,71,75,3.44,US,1737317347
278,ilulissat,69.2167,-51.1,23.02,54,75,24.16,GL,1737317348
279,villa gesell,-37.2639,-56.973,69.58,71,100,17.43,AR,1737317349
280,tyup,42.7276,78.3648,17.47,72,86,6.26,KG,1737317350
281,baissa,7.2333,10.6333,82.62,32,12,1.66,NG,1737317351
282,coquimbo,-29.9533,-71.3436,68.99,59,75,9.22,CL,1737317184
283,labytnangi,66.6572,66.4183,-7.1,85,100,17.78,RU,1737317353
284,boguchany,58.3814,97.4531,14.58,91,100,8.95,RU,1737317354
285,touros,-5.1989,-35.4608,81.79,71,81,9.1,BR,1737317292
286,diffa,13.3154,12.6113,77.36,19,22,6.24,NE,1737317357
287,shalqar,47.8333,59.6,26.55,98,100,7.25,KZ,1737317358
288,broome,42.2506,-75.833,22.53,71,100,9.22,US,1737317359
289,live oak,36.9836,-121.9805,58.37,83,0,5.99,US,1737317360
290,mount isa,-20.7333,139.5,69.57,52,35,0.0,AU,1737317361
291,shingu,33.7333,135.9833,47.55,90,97,4.9,JP,1737317362
292,katabu,-4.9333,122.5167,75.88,94,100,0.85,ID,1737317363
293,klamath falls,42.2249,-121.7817,41.86,67,0,3.0,US,1737317236
294,floro,61.5996,5.0328,33.76,93,0,0.0,NO,1737317365
295,bohain-en-vermandois,49.9873,3.453,31.23,90,6,2.04,FR,1737317366
296,san borja,-14.8167,-66.85,90.57,58,100,4.03,BO,1737317368
297,mykolayiv,46.9659,31.9974,33.22,77,0,6.71,UA,1737317122
298,krasne,49.9145,24.6134,29.55,95,11,3.69,UA,1737317370
299,savanna-la-mar,18.219,-78.1332,84.92,62,38,6.55,JM,1737317371
300,barra de santo antonio,-9.4047,-35.5072,80.91,75,80,12.21,BR,1737317373
301,rice lake,45.5061,-91.7382,-3.68,49,0,8.05,US,1737317118
302,south venice,27.0531,-82.4243,69.01,88,93,1.99,US,1737317375
303,arar,30.9753,41.0381,46.42,36,0,4.61,SA,1737317376
304,kuhmo,64.1333,29.5167,26.4,85,95,13.91,FI,1737317377
305,terenozek,45.05,64.9833,34.72,82,100,8.01,KZ,1737317378
306,saldanha,-33.0117,17.9442,64.83,86,0,7.4,ZA,1737317379
307,chichicastenango,14.9333,-91.1167,73.09,30,13,6.64,GT,1737317380
308,stephenville,32.2207,-98.2023,35.26,28,0,11.5,US,1737317381
309,castillo,19.2082,-70.0273,82.9,61,47,5.88,DO,1737317382
310,vilyuchinsk,52.9306,158.4028,7.07,86,100,6.98,RU,1737317383
311,kitimat,54.0524,-128.6534,33.91,76,81,1.01,CA,1737317384
312,auki,-8.7676,160.7034,77.63,88,100,3.27,SB,1737317385
313,maksatikha,57.797,35.8825,31.91,83,14,12.48,RU,1737317388
314,chimoio,-19.1164,33.4833,70.09,96,100,0.85,MZ,1737317389
315,alofi,-19.0595,-169.9187,82.29,89,75,4.61,NU,1737317390
316,sal rei,16.1833,-22.9167,71.69,64,80,16.28,CV,1737317391
317,tsurusaki,33.24,131.6844,41.72,82,0,5.26,JP,1737317392
318,solan,30.9167,77.1167,52.09,36,100,3.65,IN,1737317393
319,saint-francois,46.4154,3.9054,26.65,100,100,5.75,FR,1737317394
320,prainha,-1.8,-53.48,79.23,70,100,3.78,BR,1737317395
321,thinadhoo,0.5333,72.9333,82.0,77,97,12.19,MV,1737317396
322,hamilton,39.1834,-84.5333,27.25,78,100,20.71,US,1737317104
323,beaufort west,-32.3567,22.583,76.96,45,0,13.98,ZA,1737317398
324,island harbour,50.724,-1.2758,38.98,80,100,5.37,GB,1737317399
